Day,Age,"Ad set name","Ad name","Campaign name","Account name","Account ID",Reach,Impressions,"Attribution setting",Frequency,"Amount spent (USD)","Link clicks",Purchases,"Mobile app purchases","Website purchases","Cost per purchase","App Installs","Mobile app installs","Desktop app installs","Cost per App Install","Landing page views","New messaging connections","Cost per new messaging connection","Messaging conversations started","CPM (cost per 1,000 impressions)","Campaign delivery","Post reactions","Post engagement","Post shares","Cost per Page engagement","Cost per landing page view","Reporting starts","Reporting ends","Campaign name","Clicks (all)","CPC (cost per link click)","100% VTR","50% VTR","25% VTR","75% VTR","CTR (link click-through rate)","Delivery status","Delivery level","Result Type","Cost per result",Results,"Page engagement",ThruPlays,"Result rate"
2023-05-09,55-64,"[Rajshahi to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,55-64,"[Dhaka to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,2,"7-day click or 1-day view",2,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,55-64,"[Chittagong to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[Chittagong to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,28,62,"7-day click or 1-day view",2.2142857142857,0.01,,,,,,,,,,,,,,0.16129032,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-09,45-54,"[Chittagong to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,6,10,"7-day click or 1-day view",1.6666666666667,0.01,,,,,,,,,,,,,,1,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,45-54,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,10,11,"7-day click or 1-day view",1.1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,27,29,"7-day click or 1-day view",1.0740740740741,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,18-24,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,81,89,"7-day click or 1-day view",1.0987654320988,0,,,,,,,,,,,,,,0,active,1,1,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,1,,
2023-05-09,25-34,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,186,207,"7-day click or 1-day view",1.1129032258065,0.03,,,,,,,,,,,,,,0.14492754,active,1,1,,0.03,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",5,,0,0,0,0,,active,ad,,,,1,,
2023-05-09,45-54,"[Dhaka to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,83,131,"7-day click or 1-day view",1.578313253012,0.05,,,,,,,,,,,,,,0.38167939,active,1,2,,0.025,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",2,,0,0,0,0,,active,ad,,,,2,,
