Day,Age,"Ad set name","Ad name","Campaign name","Delivery status","Delivery level","Account name","Account ID",Reach,Impressions,"Attribution setting",Frequency,"Result Type",Results,"Amount spent (USD)","Cost per result","Link clicks",Purchases,"Mobile app purchases","Website purchases","Cost per purchase","App Installs","Mobile app installs","Desktop app installs","Cost per App Install",ThruPlays,"Landing page views","New messaging connections","Cost per new messaging connection","Messaging conversations started","CPM (cost per 1,000 impressions)","Campaign delivery","Post reactions","Post engagement","Post shares","Cost per Page engagement","Cost per landing page view","Reporting starts","Reporting ends","Campaign name","Clicks (all)","CPC (cost per link click)","Result rate","100% VTR","50% VTR","25% VTR","75% VTR","CTR (link click-through rate)"
2023-05-09,65+,"Custom Audience: My Robi 30 days active user single app; My Robi Centric Content","Noor Namaz & Iftar time - Traffic","2303123701_P01|4800019232|||_Traffic (App Engagement)_$670.00_CPR- $0.04_16,750_VAS_Noor_3mn_phase1-April'23_Traffic (App Engagement) 3_Apr 1-Apr 30_All FB",not_delivering,ad,"Robi Axiata - HP - BD - USD",3489291037788310,0,0,"7-day click or 1-day view",0,,,0,,,,,,,,,,,,,,,,,completed,,,,,,2023-05-09,2023-05-09,"2303123701_P01|4800019232|||_Traffic (App Engagement)_$670.00_CPR- $0.04_16,750_VAS_Noor_3mn_phase1-April'23_Traffic (App Engagement) 3_Apr 1-Apr 30_All FB",0,,,,,,,
2023-05-09,45-54,"BI Base: Kushtia - 51-100.txt",148TK+196TK_Non-BEP_Conversion,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 20_51-100.txt_Non-BEP_May 1-May 31_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,3,10,"7-day click or 1-day view",3.3333333333333,,,0,,,,,,,,,,,1,,,,,0,active,,4,,0,,2023-05-09,2023-05-09,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 20_51-100.txt_Non-BEP_May 1-May 31_All FB",0,,,0.1,0.3,0.4,0.1,
2023-05-09,45-54,"BI Base: CTG & Mymensingh  - 100-200.txt",299TK+397TK_Non-BEP_Conversion,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 21_100-200.txt_Non-BEP_May 1-May 31_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,30,63,"7-day click or 1-day view",2.1,"Mobile app purchases",1,0.02,,,1,1,,0.02,,,,,5,,,,,0.31746032,active,,9,,0.00222222,,2023-05-09,2023-05-09,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 21_100-200.txt_Non-BEP_May 1-May 31_All FB",0,,1.5873015873016,0.07936508,0.12698413,0.15873016,0.0952381,
2023-05-09,18-24,"Custom Audience: People who visited Roaming app or web page","Hajj (Dynamic) - App Conversion","2304124574_P01|4800019308|||_Conversions (App)_$88.00_CPR- $2.5_35_CLM_INTERNATIONAL ROAMING _AlwaysOn_Conversion App_Apr 16-Jun 30_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,5,10,"7-day click or 1-day view",2,,,0,,,,,,,,,,,1,,,,,0,active,,6,,0,,2023-05-09,2023-05-09,"2304124574_P01|4800019308|||_Conversions (App)_$88.00_CPR- $2.5_35_CLM_INTERNATIONAL ROAMING _AlwaysOn_Conversion App_Apr 16-Jun 30_All FB",0,,,0.1,0.6,0.6,0.1,
2023-05-09,25-34,"Custom Audience: People who visited Roaming app or web page","Hajj (Dynamic) - App Conversion","2304124574_P01|4800019308|||_Conversions (App)_$88.00_CPR- $2.5_35_CLM_INTERNATIONAL ROAMING _AlwaysOn_Conversion App_Apr 16-Jun 30_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,1,1,"7-day click or 1-day view",1,,,0,,,,,,,,,,,1,,,,,0,active,,1,,0,,2023-05-09,2023-05-09,"2304124574_P01|4800019308|||_Conversions (App)_$88.00_CPR- $2.5_35_CLM_INTERNATIONAL ROAMING _AlwaysOn_Conversion App_Apr 16-Jun 30_All FB",0,,,1,1,1,1,
2023-05-09,18-24,"Custom Audience: International Trip Enthusiast filtered by Single App User","Hajj Static 1 - traffic","2304124574_P01|4800019308|||_Traffic (App Engagement)_$581.00_CPR- $0.03_19,367_CLM_INTERNATIONAL ROAMING _AlwaysOn_App Engagement_Apr 16-Jun 30_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,34,40,"7-day click or 1-day view",1.1764705882353,,,0,,,1,1,,0,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124574_P01|4800019308|||_Traffic (App Engagement)_$581.00_CPR- $0.03_19,367_CLM_INTERNATIONAL ROAMING _AlwaysOn_App Engagement_Apr 16-Jun 30_All FB",0,,,0,0,0,0,
2023-05-09,65+,"BI Base: Kushtia - 100-200.txt",299TK+397TK_Non-BEP_Conversion,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 21_100-200.txt_Non-BEP_May 1-May 31_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,9,17,"7-day click or 1-day view",1.8888888888889,"Mobile app purchases",1,0,,,1,1,,0,,,,,,,,,,0,active,,2,,0,,2023-05-09,2023-05-09,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 21_100-200.txt_Non-BEP_May 1-May 31_All FB",0,,5.8823529411765,,0.11764706,0.17647059,,
2023-05-09,25-34,"Custom Audience: International Trip Enthusiast filtered by Single App User","Hajj Static 1 - traffic","2304124574_P01|4800019308|||_Traffic (App Engagement)_$581.00_CPR- $0.03_19,367_CLM_INTERNATIONAL ROAMING _AlwaysOn_App Engagement_Apr 16-Jun 30_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,13,23,"7-day click or 1-day view",1.7692307692308,,,0.01,,,,,,,,,,,,,,,,0.43478261,active,,,,,,2023-05-09,2023-05-09,"2304124574_P01|4800019308|||_Traffic (App Engagement)_$581.00_CPR- $0.03_19,367_CLM_INTERNATIONAL ROAMING _AlwaysOn_App Engagement_Apr 16-Jun 30_All FB",0,,,0,0,0,0,
2023-05-09,45-54,"Custom Audience: International Trip Enthusiast filtered by Single App User","Hajj Static 1 - traffic","2304124574_P01|4800019308|||_Traffic (App Engagement)_$581.00_CPR- $0.03_19,367_CLM_INTERNATIONAL ROAMING _AlwaysOn_App Engagement_Apr 16-Jun 30_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,2,2,"7-day click or 1-day view",1,,,0,,,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124574_P01|4800019308|||_Traffic (App Engagement)_$581.00_CPR- $0.03_19,367_CLM_INTERNATIONAL ROAMING _AlwaysOn_App Engagement_Apr 16-Jun 30_All FB",0,,,0,0,0,0,
2023-05-09,35-44,"BI Base: Kushtia - 100-200.txt",299TK+397TK_Non-BEP_Conversion,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 21_100-200.txt_Non-BEP_May 1-May 31_All FB",active,ad,"Robi Axiata - HP - BD - USD",3489291037788310,80,209,"7-day click or 1-day view",2.6125,"Mobile app purchases",1,0.06,,,1,1,,0.06,,,,,28,,,,,0.28708134,active,,71,,0.00084507,,2023-05-09,2023-05-09,"2304124904_P01|4800019327|Single App||_Conversions (App)_$64.00_CPR- $0.02_3,200_My Robi Single App_Phase2_3mn for May'23_Conversions (App) 21_100-200.txt_Non-BEP_May 1-May 31_All FB",0,,0.47846889952153,0.14354067,0.31100478,0.31578947,0.1722488,
