Day,Age,"Ad set name","Ad name","Campaign name","Account name","Account ID",Reach,Impressions,"Attribution setting",Frequency,"Amount spent (USD)","Link clicks",Purchases,"Mobile app purchases","Website purchases","Cost per purchase","App Installs","Mobile app installs","Desktop app installs","Cost per App Install","Landing page views","New messaging connections","Cost per new messaging connection","Messaging conversations started","CPM (cost per 1,000 impressions)","Campaign delivery","Post reactions","Post engagement","Post shares","Cost per Page engagement","Cost per landing page view","Reporting starts","Reporting ends","Campaign name","Clicks (all)","CPC (cost per link click)","100% VTR","50% VTR","25% VTR","75% VTR","CTR (link click-through rate)","Delivery status","Delivery level","Result Type","Cost per result",Results,"Page engagement",ThruPlays,"Result rate"
2023-05-14,25-34,"Core Audience: Interests: Online shopping, Smartphones, Home appliances or Consumer electronics, Behaviours: Engaged shoppers, Facebook access (mobile): Android devices, Facebook access (mobile): Apple (iOS) devices, Facebook access (mobile): smartphones and tablets, Uses a mobile device (13-18 months), Uses a mobile device (19-24 months) or Uses a mobile device (25 months+)","Catagorywise Dynamic (Accessories) - Reach","2304124573_P03|4800019283|Website||Reach|_$1,186.00_CPR- $0.2_2,965,000_freq 2_Always On_Brand Awareness_Apr 13-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||Reach|_$1,186.00_CPR- $0.2_2,965,000_freq 2_Always On_Brand Awareness_Apr 13-Jun 30_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-14,35-44,"Custom Audience: OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,4,4,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,2,,0,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,0.5,0.5,0.5,0.5,,active,ad,,,,2,2,
2023-05-14,35-44,"Custom Audience:  Robishop Oneplus Website Visitors_180D exclude nord ce 3 web page visitor 180d","Oneplus Nord CE 3 Launch","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $5_30_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB","Robishop - HP - BD - USD",314738092876571,12,14,"7-day click or 1-day view",1.1666666666667,0.01,,,,,,,,,,,,,,0.71428571,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $5_30_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-14,18-24,"Custom Audience: Lookalike (5%) - people who add to cart over 60k products 180 days","Catagorywise Dynamic (Smartphone) - Reach","2304124573_P03|4800019283|Website||Reach|_$1,186.00_CPR- $0.2_2,965,000_freq 2_Always On_Brand Awareness_Apr 13-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,1,0,1,,inactive,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||Reach|_$1,186.00_CPR- $0.2_2,965,000_freq 2_Always On_Brand Awareness_Apr 13-Jun 30_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-14,18-24,"Custom Audience:  Robishop Website Purchaser_90days","Oneplus Nord CE 3 Launch","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $5_30_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB","Robishop - HP - BD - USD",314738092876571,17,29,"7-day click or 1-day view",1.7058823529412,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $5_30_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-14,45-54,"Custom Audience: 1% Lookalike of Robishop Oneplus Website Visitors_180D","Oneplus Nord CE 3 Launch","2304124573_P03|4800019283|Website||_Engagement_$25.00_CPR- $0.03_833_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB","Robishop - HP - BD - USD",314738092876571,16,17,"7-day click or 1-day view",1.0625,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Engagement_$25.00_CPR- $0.03_833_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-14,45-54,"Remarketing: robishop_website_visitors_90D","Iphone 14 Campaign May - Conversion","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,3,4,"7-day click or 1-day view",1.3333333333333,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-14,35-44,"Remarketing: robishop_website_visitors_90D","Iphone 14 Campaign May - Conversion","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,85,97,"7-day click or 1-day view",1.1411764705882,0.05,,,,,,,,,,,,,,0.51546392,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",2,,0,0,0,0,,active,ad,,,,,,
2023-05-14,35-44,"Remarketing: Robishop All Purchasers_180days_Mar'22","Iphone 14 Campaign May - Conversion","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,22,31,"7-day click or 1-day view",1.4090909090909,0.3,,1,,1,0.3,,,,,,,,,9.67741935,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",0,,0,0,0,0,,active,ad,,,1,,,3.2258064516129
2023-05-14,18-24,"Remarketing: Robishop All Purchasers_180days_Mar'22","Iphone 14 Campaign May - Conversion","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,26,50,"7-day click or 1-day view",1.9230769230769,0.03,,,,,,,,,,,,,,0.6,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-14,25-34,"Remarketing: Robishop All Purchasers_180days_Mar'22","Iphone 14 Campaign May - Conversion","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,41,54,"7-day click or 1-day view",1.3170731707317,0.03,,,,,,,,,,,,,,0.55555556,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-14,45-54,"Remarketing: People who visited Iphone web page last 90D","Iphone 14 Campaign May - Conversion","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,3,8,"7-day click or 1-day view",2.6666666666667,0.01,,,,,,,,,,,,,,1.25,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $6_25_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-14,Unknown,"Custom Audience: Lookalike (1%) - Robishop_website_purchasers_90D","Iphone 14 campaign May - Traffic","2304124573_P03|4800019283|Website||_Traffic_$150.00_CPR- $0.04_3,750_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB","Robishop - HP - BD - USD",314738092876571,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,active,,,,,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Traffic_$150.00_CPR- $0.04_3,750_Tactical_Iphone 14 May Campaign_May 7-May 31_All FB",0,,,,,,,active,ad,,,,,,
2023-05-14,18-24,"Custom Audience: OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,3,3,"7-day click or 1-day view",1,0.01,,,,,,,,,,,,,,3.33333333,active,,1,,0.01,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,0.33333333,0.33333333,0.33333333,0.33333333,,active,ad,,,,1,1,
2023-05-14,45-54,"Custom Audience: OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,3,3,"7-day click or 1-day view",1,0.02,,,,,,,,,,,,,,6.66666667,active,,,,,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,,,,active,ad,,,,,,
2023-05-14,25-34,"Custom Audience: OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,10,14,"7-day click or 1-day view",1.4,0.03,,,,,,,,,,,,,,2.14285714,active,,2,,0.015,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,0.14285714,0.14285714,,,active,ad,,,,2,,
2023-05-14,35-44,"Custom Audience:  OnePlus Nord CE 3 web page visit 180D","Oneplus Nord CE 3 Launch","2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $5_30_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB","Robishop - HP - BD - USD",314738092876571,38,53,"7-day click or 1-day view",1.3947368421053,0.1,,,,,,,,,,,,,,1.88679245,active,1,2,,0.05,,2023-05-14,2023-05-14,"2304124573_P03|4800019283|Website||_Conversions (Website)_$150.00_CPR- $5_30_Tactical_Oneplus Nord CE 3 Launch _May 8-May 31_All FB",1,,0,0,0,0,,active,ad,,,,2,,
2023-05-14,45-54,"Custom Audience: OBD product page visitor","OBD base Voice and Non Voice device","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,1,,,active,ad,,,,,,
2023-05-14,18-24,"Custom Audience: OBD product page visitor","OBD base Voice and Non Voice device","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,2,2,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,,,,active,ad,,,,,,
2023-05-14,25-34,"Custom Audience: OBD product page visitor","OBD base Voice and Non Voice device","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,1,2,"7-day click or 1-day view",2,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,,,,active,ad,,,,,,
2023-05-14,45-54,"Custom Audience: Lookalike of OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,5,6,"7-day click or 1-day view",1.2,0,,,,,,,,,,,,,,0,active,,1,,0,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,0.33333333,,,active,ad,,,,1,,
2023-05-14,35-44,"Custom Audience: Lookalike of OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,13,14,"7-day click or 1-day view",1.0769230769231,0.01,,,,,,,,,,,,,,0.71428571,active,,2,,0.005,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,0.07142857,0.14285714,0.14285714,0.14285714,,active,ad,,,,2,1,
2023-05-14,18-24,"Custom Audience: Lookalike of OBD product page visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,13,16,"7-day click or 1-day view",1.2307692307692,0.01,,,,,,,,,,,,,,0.625,active,,1,,0.01,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,0.0625,,,active,ad,,,,1,,
2023-05-14,18-24,"Custom Audience: Remarketing to Robishop website visitor","OBD base Voice and Non Voice device","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,227,291,"7-day click or 1-day view",1.2819383259912,0.18,,,,,,,,,,,,,,0.6185567,active,,27,,0.00666667,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",3,,0.05841924,0.09278351,0.14776632,0.06185567,,active,ad,,,,27,17,
2023-05-14,45-54,"Custom Audience: Remarketing to Robishop website visitor","Robi Intelligent Vehicle Tracker","2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB","Robishop - HP - BD - USD",314738092876571,1,1,"7-day click or 1-day view",1,0.01,,,,,,,,,,,,,,10,active,,,,,,2023-05-14,2023-05-14,"2304124794_P01|4800019347|Website||_Conversions_$510.00_CPR- $6_85_Robishop_IOT 0.5Mn_Q2'23 FB_PMax_Tactical Vehicle Tracker_Apr 27-Jun 30_All FB",0,,,,,,,active,ad,,,,,,
